Date,Open,High,Low,Close,Volume,Ticker,HA_Close,HA_Open,HA_High,HA_Low,HA_50_MA,HA_100_MA,MACD_Line,Signal_Line,MACD_Hist
2022-01-03,126.10942024093075,127.23522028430779,123.4529308572121,125.7736587524414,296000,EME,125.64280753372302,125.94153949668608,127.23522028430779,123.4529308572121,,,0.0,0.0,0.0
2022-01-04,126.6328124563906,128.8942975398713,125.15150341106786,128.39064025878906,309000,EME,127.2673134165297,125.79217351520455,128.8942975398713,125.15150341106786,,,0.20876205748643883,0.04175241149728777,0.16700964598915108
2022-01-05,128.32151368782442,130.19784190248984,125.27987531860529,125.51688385009766,199300,EME,127.3290286897543,126.52974346586713,130.19784190248984,125.27987531860529,,,0.14069749376979246,0.061541427951788706,0.07915606581800375
2022-01-06,125.78352329843025,126.94882590247856,124.96385970101379,126.26741790771484,220400,EME,125.99090670240936,126.9293860778107,126.94882590247856,124.96385970101379,,,0.14563882885848045,0.07836090813312706,0.0672779207253534
2022-01-07,125.89214112591249,126.20815497655747,123.20601962824792,124.00592803955078,201700,EME,124.82806094256716,126.46014639011003,126.46014639011003,123.20601962824792,,,-0.032553206681811275,0.0561780851701394,-0.08873129185195067
2022-01-10,122.97890101737592,123.44304808366903,120.77668125880807,122.29749298095703,170000,EME,122.37403083520252,125.6441036663386,125.6441036663386,120.77668125880807,,,-0.30807679240110986,-0.016672890344110455,-0.2914039020569994
2022-01-11,122.93938865821087,123.20602984032237,120.25326693790399,123.1072769165039,148500,EME,122.37649058823528,124.00906725077056,124.00906725077056,120.25326693790399,,,-0.4558338542469613,-0.10450508312468064,-0.35132877112228067
2022-01-12,123.37391170296877,124.17382018795598,120.96430116085936,121.56670379638672,296100,EME,122.5196842120427,123.19277891950293,124.17382018795598,120.96430116085936,,,-0.6892979680757492,-0.22146366011489438,-0.4678343079608548
2022-01-13,122.59376622645169,124.57873266124494,122.59376622645169,123.294921875,253300,EME,123.26529674728708,122.85623156577282,124.57873266124494,122.59376622645169,,,-0.7264926496411022,-0.32246945802013594,-0.4040231916209662
2022-01-14,121.8516063148741,123.55195442434908,120.93223239717982,123.22572326660156,161100,EME,122.39037910075113,123.06076415652996,123.55195442434908,120.93223239717982,,,-0.7528747803165032,-0.40855052247940943,-0.3443242578370938
2022-01-18,121.91091373243195,122.63257588367873,119.14290423406898,119.25164794921875,322400,EME,120.7345104498496,122.72557162864055,122.72557162864055,119.14290423406898,,,-1.0819850244794225,-0.5432374228794121,-0.5387476016000103
2022-01-19,119.12314571766314,120.45771887078637,117.73914085648285,117.8775405883789,430400,EME,118.79938650832781,121.73004103924507,121.73004103924507,117.73914085648285,,,-1.4371200192099138,-0.7220139421455125,-0.7151060770644013
2022-01-20,118.688155037323,121.03107740235077,116.51329593200632,116.63192749023438,291800,EME,118.21611396547861,120.26471377378644,121.03107740235077,116.51329593200632,,,-1.7983473987600291,-0.937280633468416,-0.8610667652916132
2022-01-21,116.4045624436706,118.97485275988527,115.50495668477481,115.64336395263672,363800,EME,116.63193396024185,119.24041386963253,119.24041386963253,115.50495668477481,,,-2.139726084896722,-1.1777697237540772,-0.9619563611426449
2022-01-24,113.8639237373006,120.10182162660965,113.33998086156846,119.6965103149414,377000,EME,116.75055913510502,117.9361739149372,120.10182162660965,113.33998086156846,,,-2.059475760690077,-1.3541109311412771,-0.7053648295488
2022-01-25,117.87755153924863,119.01441305019802,113.41908861199616,115.60383605957031,366300,EME,116.47872231525328,117.34336652502111,119.01441305019802,113.41908861199616,,,-2.2996129030000674,-1.5432113255130353,-0.7564015774870321
2022-01-26,117.10643702402163,118.92541651401112,113.923228573204,115.02054595947266,305500,EME,116.24390701767734,116.91104442013719,118.92541651401112,113.923228573204,,,-2.508078388259264,-1.7361847380622812,-0.7718936501969829
2022-01-27,116.20684887307902,117.99616497083815,114.29890120854508,114.47684478759766,315200,EME,115.74468996001498,116.57747571890727,117.99616497083815,114.29890120854508,,,-2.686196131010675,-1.9261870166519601,-0.7600091143587149
2022-01-28,114.76351795636607,116.54295364478376,112.05482811263589,116.53306579589844,303500,EME,114.97359137742104,116.16108283946113,116.54295364478376,112.05482811263589,,,-2.6311061210396502,-2.067170837529498,-0.5639352835101521
2022-01-31,115.08974834495457,117.90718188153743,115.08974834495457,117.84786987304688,344300,EME,116.48363711112336,115.56733710844108,117.90718188153743,115.08974834495457,,,-2.4530756612494997,-2.1443518022734986,-0.3087238589760011
2022-02-01,117.88741559796108,118.61895803576236,115.64335658188439,116.4737548828125,232000,EME,117.15587127460509,116.02548710978222,118.61895803576236,115.64335658188439,,,-2.395253839708971,-2.194532209760593,-0.20072162994837806
