Date,Open,High,Low,Close,Volume,Ticker,HA_Close,HA_Open,HA_High,HA_Low,HA_50_MA,HA_100_MA,MACD_Line,Signal_Line,MACD_Hist
2022-01-03,169.07266214026072,172.7423284332225,168.45335006446007,172.12301635742188,5990200,QCOM,170.5978392488413,170.5978392488413,172.7423284332225,168.45335006446007,,,0.0,0.0,0.0
2022-01-04,172.8532910958611,174.63727818569905,167.31643460829054,173.06588745117188,8484200,QCOM,171.96822283525563,170.5978392488413,174.63727818569905,167.31643460829054,,,0.07521478810542703,0.015042957621085408,0.060171830484341625
2022-01-05,172.3911590576172,178.93555434869265,170.75505670873528,172.3911590576172,17141200,QCOM,173.6182322931656,171.28303104204846,178.93555434869265,170.75505670873528,,,0.07946211732775055,0.02792678956241844,0.05153532776533211
2022-01-06,170.56092357953275,174.21210021094947,169.15590880307002,171.8827362060547,9117700,QCOM,171.45291719990172,172.450631667607,174.21210021094947,169.15590880307002,,,0.041326297450495986,0.03060669114003395,0.010719606310462034
2022-01-07,172.4835803477646,174.11042999407735,166.49378689087325,166.76185607910156,7386200,QCOM,169.96241332795418,171.95177443375437,174.11042999407735,166.49378689087325,,,-0.39752640685361484,-0.05501992845869581,-0.34250647839491905
2022-01-10,164.7837146477562,166.38283460891878,160.61489126487513,166.0870361328125,11159300,QCOM,164.46711916359067,170.95709388085427,170.95709388085427,160.61489126487513,,,-0.7906584483131951,-0.20214763242959566,-0.5885108158835994
2022-01-11,165.63412822847204,171.6054159032692,163.8131592550111,171.37432861328125,9591000,QCOM,168.1067580000084,167.71210652222248,171.6054159032692,163.8131592550111,,,-0.6678792122875734,-0.2952939484011912,-0.3725852638863822
2022-01-12,172.483574646548,175.12721404970583,171.18023882687802,172.3171844482422,7317500,QCOM,172.77705299284352,167.90943226111546,175.12721404970583,167.90943226111546,,,-0.48885992415335977,-0.3340071435516249,-0.15485278060173485
2022-01-13,174.42467847172202,177.08680848659077,169.42394628012005,169.9785614013672,10190900,QCOM,172.72849865995,170.34324262697947,177.08680848659077,169.42394628012005,,,-0.5295884181105919,-0.37312339846341835,-0.15646501964717352
2022-01-14,168.97103488076246,175.70953427500427,168.24079112161823,174.4154510498047,9587300,QCOM,171.83420283179743,171.53587064346473,175.70953427500427,168.24079112161823,,,-0.20152309620044662,-0.338803338010824,0.1372802418103774
