Date,HA_Open,HA_High,HA_Low,HA_Close,HA_50_MA,HA_100_MA,MACD_Line,Signal_Line,MACD_Hist
2022-01-03,481.2074880378299,484.79712560618105,474.0672093452797,480.3198277567801,,,0.0,0.0,0.0
2022-01-04,480.763657897305,491.79114324425467,463.52267753900463,480.3735265059989,,,-0.28012493600874677,-0.05602498720174936,-0.2240999488069974
2022-01-05,480.56859220165194,480.56859220165194,449.1055768501321,462.65941024445317,,,-2.8868322378087328,-0.622186437323146,-2.264645800485587
2022-01-06,471.6140012230526,471.6140012230526,438.37572151493936,449.7104130037542,,,-4.5009295472282815,-1.3979350593041733,-3.102994487924108
2022-01-07,460.6622071134034,460.6622071134034,433.2838523747578,444.59416275901503,,,-7.34210179757082,-2.5867684069575025,-4.755333390613317
2022-01-10,452.6281849362092,452.6281849362092,415.7159853493195,430.1233413614796,,,-9.123372265690932,-3.8940891787041885,-5.229283086986744
2022-01-11,441.3757631488444,443.5455323603345,427.2263218023171,438.37567475590174,,,-10.167532313496167,-5.148777805662585,-5.018754507833583
2022-01-12,439.87571895237306,452.3441034255452,434.0447059385529,442.74813345733463,,,-11.149864481369946,-6.348995140804057,-4.800869340565889
2022-01-13,441.3119262048539,444.55027316908183,422.3881128024412,433.00098252284437,,,-12.982980156888459,-7.675792144020938,-5.307188012867521
2022-01-14,437.1564543638491,437.1564543638491,416.73043573993414,422.7221128100006,,,-13.91562749680844,-8.923759214578439,-4.991868282230001
2022-01-18,429.93928358692483,429.93928358692483,405.6883868119301,412.57504744581246,,,-16.18641619120433,-10.376290609903618,-5.810125581300712
2022-01-19,421.2571655163687,421.2571655163687,401.1038693507032,408.0856258903438,,,-17.96625465670104,-11.894283419263102,-6.071971237437937
2022-01-20,414.6713957033562,414.6713957033562,394.12941018719806,402.9620918956832,,,-19.919320138722355,-13.499290763154953,-6.4200293755674025
2022-01-21,408.8167437995197,409.2195590257183,386.56967604290026,393.27831589314314,,,-21.746185705431856,-15.148669751610335,-6.597515953821521
2022-01-24,401.04752984633143,401.04752984633143,363.7441879672561,382.5288586656365,,,-22.57251016327541,-16.63343783394335,-5.93907232933206
2022-01-25,391.78819425598397,391.78819425598397,363.32476554263064,373.68156749832167,,,-25.075312120573642,-18.32181269126941,-6.753499429304231
2022-01-26,382.7348808771528,385.05773100296653,361.51042443702426,372.96706039897447,,,-26.490541216931433,-19.955558396401816,-6.534982820529617
2022-01-27,377.85097063806364,377.88816409023747,350.83903767131943,363.93684281574434,,,-28.627285721221085,-21.68990386136567,-6.937381859855414
2022-01-28,370.893906726904,370.893906726904,342.5867488384742,355.06272489732027,,,-29.21489642638784,-23.194902374370105,-6.019994052017733
2022-01-31,362.9783158121121,394.25620463592907,362.9783158121121,380.1146625810387,,,-26.849199043387443,-23.925761708173575,-2.923437335213869
2022-02-01,371.5464891965754,399.30896787255426,371.5464891965754,393.5026276680627,,,-24.424418137452903,-24.02549299402944,-0.39892514342346175
2022-02-02,382.52455843231905,406.45904642955566,382.52455843231905,402.59627688311565,,,-21.611359341150546,-23.542666263453665,1.9313069223031185
2022-02-03,392.5604176577174,400.2551844802964,382.07286651389313,388.69614559243166,,,-20.821651405953958,-22.998463291953726,2.1768118859997685
2022-02-04,390.6282816250745,394.2366515016019,377.4296894691472,385.7575739404627,,,-19.424072950675168,-22.283585223698015,2.8595122730228475
2022-02-07,388.1929277827686,400.41129911198766,383.067849627719,390.49101062560317,,,-18.35440809576147,-21.497749798110707,3.143341702349236
2022-02-08,389.3419692041859,396.8898979295834,383.3409242029277,390.8055440172779,,,-16.634102749696865,-20.52502038842794,3.890917638731075
2022-02-09,390.0737566107319,414.17479991074094,390.0737566107319,406.3273231822649,,,-13.757555773661409,-19.171527465474636,5.413971691813227
2022-02-10,398.2005398964984,415.95992984159824,394.90002899917,402.284163783409,,,-12.554727562689209,-17.84816748491755,5.293439922228341
2022-02-11,400.2423518399537,455.7093785545928,400.2423518399537,427.4092219514055,,,-10.146440029562427,-16.307821993846527,6.1613819642841
2022-02-14,413.8257868956796,428.3871581833087,400.78198467438085,415.5527030685982,,,-7.441318188256332,-14.534521232728489,7.0932030444721565
2022-02-15,414.6892449821389,470.60441600075677,414.6892449821389,449.9395662915439,,,-1.6616002929268916,-11.95993704476817,10.298336751841278
2022-02-16,432.3144056368414,477.28619808081214,432.3144056368414,466.1831805085071,,,3.531456790419213,-8.861658277730694,12.393115068149907
2022-02-17,449.2487930726743,478.7494018576029,449.24212849495274,460.72802647817133,,,5.5608219069854385,-5.977162240787467,11.537984147772907
2022-02-18,454.98840977542284,455.2898618384814,437.54647951734694,447.7130759027748,,,6.734910421647953,-3.434747708300383,10.169658129948337
2022-02-22,451.3507428390988,453.2609770720992,433.5081750395285,441.59218323718903,,,7.01466082129258,-1.3448660023817907,8.35952682367437
2022-02-23,446.47146303814395,448.23742999180587,418.6131070338185,432.91316475117463,,,5.698791643986453,0.06386552689185819,5.6349261170945955
2022-02-24,439.69231389465926,444.44295587914945,402.30363030017116,424.03660484091216,,,6.449410311901829,1.3409744838938524,5.108435828007977
2022-02-25,431.8644593677857,451.37839039251156,431.8644593677857,444.4088314427223,,,7.45422964018104,2.56362551515129,4.89060412502975
2022-02-28,438.136645405254,449.23237998398986,435.5175972319501,444.6014476270951,,,7.943321140017531,3.6395646401245387,4.303756499892993
