Date,HA_Open,HA_High,HA_Low,HA_Close,HA_50_MA,HA_100_MA,MACD_Line,Signal_Line,MACD_Hist,Current_Holding,Buy_Signal,Sell_Signal,Cash,Holdings,Total_Value
2020-01-02,54.09383982290869,54.3651221826435,53.894897815983384,54.11192491111106,,,0.0,0.0,0.0,0,False,False,100000.0,0.0,100000.0
2020-01-03,54.10288236700987,54.10288236700987,52.48423338355141,52.91150409123735,,,-0.1428289168920287,-0.0285657833784057,-0.1142631335136229,0,True,False,90045.06964447019,9954.930355529816,100000.0
2020-01-06,53.50719322912361,53.50719322912361,51.66133956967808,51.95296734821626,,,-0.3014356880820585,-0.0831397643191363,-0.2182959237629222,0,True,False,90045.06964447019,9845.323554158744,99890.39319862894
2020-01-07,52.73008028866994,52.9906270104526,51.30867480899169,52.24686074922416,,,-0.3551783219593929,-0.1375474758471876,-0.2176308461122053,0,False,False,90045.06964447019,9702.334773115268,99747.40441758547
2020-01-08,52.488470518947054,53.33425357671519,52.488470518947054,52.90698285999044,,,-0.3622182046414437,-0.1824816216060388,-0.1797365830354048,0,True,False,90045.06964447019,9657.878575486258,99702.94821995645
2020-01-09,52.69772668946875,53.99437047193233,52.69772668946875,53.65300633680013,,,-0.3289810517859095,-0.2117815076420129,-0.1171995441438965,0,False,False,90045.06964447019,9696.38171086225,99741.45135533244
2020-01-10,53.17536651313444,53.98532738508966,53.14434965809581,53.585184784742125,,,-0.3258818798963503,-0.2346015820928804,-0.0912802978034698,0,True,False,90045.06964447019,9784.267438416737,99829.33708288692
2020-01-13,53.38027564893828,54.40129743323249,53.38027564893828,54.21592160260601,,,-0.233176411607765,-0.2343165479958573,0.0011401363880923,0,True,False,90045.06964447019,9821.970719404644,99867.04036387484
2020-01-14,53.79809862577214,54.835339188226136,53.79809862577214,54.49171393465317,,,-0.1391322417637681,-0.2152796867494395,0.0761474449856713,0,False,False,90045.06964447019,9898.850147142073,99943.91979161226
2020-01-15,54.14490628021265,54.14490628021265,52.68317849331781,53.356865642678706,,,-0.2030864204904645,-0.2128410334976445,0.00975461300718,0,True,False,90045.06964447019,9962.662755559128,100007.73240002932
2020-01-16,53.750885961445675,53.976289377061086,52.71934498075094,53.33877506490737,,,-0.2249100059385966,-0.2152548279858349,-0.0096551779527616,0,False,False,90045.06964447019,9890.163016906004,99935.2326613762
2020-01-17,53.54483051317652,53.54483051317652,52.457108363972786,52.89568413258056,,,-0.2517078120196316,-0.2225454247925943,-0.0291623872270373,0,True,False,90045.06964447019,9852.24881442448,99897.31845889468
2020-01-21,53.22025732287854,53.352337586026366,51.968795020276275,52.60631017159303,,,-0.294361565300953,-0.236908652894266,-0.0574529124066869,0,False,False,90045.06964447019,9792.52734740965,99837.59699187984
2020-01-22,52.91328374723578,53.298080405371216,52.73742968102824,53.01549473035017,,,-0.3164904126443417,-0.2528250048442812,-0.0636654078000605,0,True,False,90045.06964447019,9736.044209491383,99781.11385396158
