Date,Open,High,Low,Close,Volume,Ticker
2020-01-02,53.89490538946599,54.36512982220353,53.89490538946599,54.292789459228516,8432600,TSM
2020-01-03,53.32520732253271,53.33424857329749,52.48422957016823,52.502315521240234,10546400,TSM
2020-01-06,52.086347361286336,52.16773241917601,51.661339569678084,51.89645004272461,8897200,TSM
2020-01-07,51.95070308936089,52.99061934442876,51.308667386291745,52.737422943115234,7444300,TSM
2020-01-08,52.619870186958735,53.33424974708382,52.547529830621116,53.12626647949219,5381500,TSM
2020-01-09,53.97628452079084,53.99437047193233,53.08105236131331,53.56031799316406,5112700,TSM
2020-01-10,53.985335123364464,53.985335123364464,53.14435727582458,53.22574234008789,4807700,TSM
2020-01-13,54.39226000256663,54.40130125428113,53.75926544672416,54.310874938964844,6613700,TSM
2020-01-14,54.401286781009006,54.835339188226136,54.18425885262949,54.54597091674805,6715200,TSM
2020-01-15,53.95820507520349,53.985335729957995,52.683174687113684,52.80073165893555,10075100,TSM
2020-01-16,53.5331917637117,53.97628550132875,52.719341195272676,53.12626647949219,11215700,TSM
2020-01-17,53.02679239610609,53.12626339865161,52.45709703123593,52.972537994384766,8125700,TSM
2020-01-21,52.43900803153793,53.352325992595794,51.96878372748867,52.665077209472656,9873700,TSM
2020-01-22,53.26190809958127,53.298076552102025,52.737425868292185,52.76455307006836,8124500,TSM
2020-01-23,52.321466642035354,52.511363980044166,51.20016166845122,51.977840423583984,9999200,TSM
2020-01-24,52.52945109976054,52.57466425987929,51.959755623543856,52.20391082763672,10402200,TSM
2020-01-27,50.295880969589255,50.63046591129882,49.7894881056702,49.970340728759766,9675500,TSM
2020-01-28,50.395350722956955,51.652295049556855,50.16928150020035,51.62516784667969,8124400,TSM
2020-01-29,52.01400444475749,52.01400444475749,51.408137165935564,51.71559143066406,7693400,TSM
2020-01-30,49.807575446075404,50.675680479453895,49.78948949335384,50.45865249633789,10295700,TSM
2020-01-31,50.12406936427691,50.169282519838625,48.469240964285476,48.776695251464844,13467200,TSM
2020-02-03,49.14745027427587,49.68097380647865,48.95755294490101,49.52724838256836,9594300,TSM
2020-02-04,51.47143936002726,52.12251983020875,51.45335685767121,52.014007568359375,12746600,TSM
2020-02-05,52.53848345689265,52.58370005889896,51.69750571280292,52.37571334838867,6594400,TSM
2020-02-06,52.692213779915726,52.701255030842944,51.79697815825035,52.46614456176758,4236300,TSM
2020-02-07,51.67037337188915,51.67037337188915,50.69375626754601,50.82035446166992,6808400,TSM
2020-02-10,51.03739585550231,51.589005412202006,50.94696952961914,51.5618782043457,4281200,TSM
2020-02-11,52.40283664030224,53.26190021464331,52.27623845136518,53.04487228393555,6523200,TSM
2020-02-12,53.57840522179141,54.030543662481634,53.26190969312527,53.92203140258789,5962900,TSM
2020-02-13,53.469889337918815,53.98532684940794,53.11722193000966,53.6507453918457,6460100,TSM
2020-02-14,53.370409074297896,53.50604850404852,52.33048953183455,52.61985778808594,6932400,TSM
2020-02-18,50.72992518488465,51.14589511883188,50.30491745061945,50.802268981933594,10989000,TSM
2020-02-19,51.76984542666502,52.39379516027787,51.54377623266212,52.12251281738281,7866300,TSM
2020-02-20,51.48952150697835,51.57995125978914,50.46769117178409,51.07355499267578,7192900,TSM
2020-02-21,51.22729558328219,51.22729558328219,50.20546156445485,50.268760681152344,6816600,TSM
