Ticker,Total_Return_%,Final_Value,Total_Profit,Max_Drawdown_%,Num_Trades,Win_Rate_%,Avg_Holding_Days,Profitable_Trades,Losing_Trades,Period_Years
MPWR,-0.2819558715820313,99718.04412841797,-281.96,-7.972964818875646,62,38.70967741935484,31.903225806451612,12,19,3.4
TYL,-1.6942900085449217,98305.70999145508,-1694.29,-6.233038444114151,72,27.77777777777778,26.333333333333332,10,26,3.4
TSCO,-3.4682791862487794,96531.72081375122,-3468.28,-4.276551505291275,74,16.216216216216218,24.81081081081081,6,31,3.4
