Price,HA_Open,HA_High,HA_Low,HA_Close
Ticker,,,,
Date,,,,
2020-01-02,183.63344159088118,185.7508794396257,180.55092943231756,183.3921730134264
2020-01-03,183.5128073021538,183.5128073021538,179.13825157349282,179.80888090288
2020-01-06,181.66084410251688,181.66084410251688,178.0683998999899,178.75093819598823
2020-01-07,180.20589114925255,180.20589114925255,177.5827058273258,178.69618888418245
2020-01-08,179.4510400167175,181.0557028269444,178.0938210506484,179.57396630826878
2020-01-09,179.51250316249315,181.94774573261637,178.65254213696994,180.40649321072144
2020-01-10,179.95949818660728,181.32867821588044,179.76360427305144,180.3469393805519
2020-01-13,180.15321878357958,182.61758759828788,179.78586963136794,181.26124831544894
2020-01-14,180.70723354951426,183.7985245194595,180.70723354951426,182.59694452441528
2020-01-15,181.65208903696475,186.59851789495232,181.65208903696475,184.31917800381243
2020-01-16,182.9856335203886,187.24294021685088,182.9856335203886,186.22151422266882
2020-01-17,184.6035738715287,188.90958722453433,184.6035738715287,187.27705534783072
2020-01-21,185.94031460967972,189.91913131704365,185.94031460967972,188.57866097773925
2020-01-22,187.25948779370947,189.39842563788122,187.25948779370947,188.61033751265467
2020-01-23,187.93491265318207,189.40482125671937,187.12548169460706,188.63181359226292
2020-01-24,188.2833631227225,190.45876182865877,187.91274472942678,189.34130809373715
2020-01-27,188.81233560822983,188.81233560822983,184.93505127172503,186.08265938486542
2020-01-28,187.4474974965476,188.23975792877985,185.55405826915097,186.7453205149638
2020-01-29,187.0964090057557,189.83973898534106,187.0964090057557,188.21435677555098
2020-01-30,187.65538289065336,187.65538289065336,176.34775814890648,179.17074528769967
2020-01-31,183.41306408917652,183.41306408917652,174.98272726242436,177.1858789133325
2020-02-03,180.29947150125452,183.51595902369993,177.0969730681098,180.17075475643853
2020-02-04,180.23511312884654,187.29691968939508,180.23511312884654,185.09376425885327
2020-02-05,182.6644386938499,186.5000808620422,181.246158746787,184.74533786835815
2020-02-06,183.70488828110402,185.8969153167272,183.70488828110402,184.98581307366345
2020-02-07,184.34535067738375,184.5445640779456,181.46840209324702,183.07949944460879
2020-02-10,183.71242506099628,183.71242506099628,180.58900822780325,181.5072565477951
2020-02-11,182.60984080439567,184.49061436352758,181.79857811818903,182.8644397978427
2020-02-12,182.73714030111918,184.75728181018926,182.73714030111918,183.72315822245483
2020-02-13,183.230149261787,184.94141234877836,182.8874646229607,183.78110314409332
2020-02-14,183.50562620294016,185.85565185546875,183.50562620294016,184.95407534306278
2020-02-18,184.2298507730015,185.35724069042607,182.91916732568865,184.5207424157476
2020-02-19,184.37529659437456,188.05880758052524,184.37529659437456,186.6159626017306
2020-02-20,185.49562959805257,187.70643526086243,184.12550230408215,185.8024769996367
2020-02-21,185.64905329884465,185.64905329884465,181.70964655833495,183.27074619618875
2020-02-24,184.45989974751672,184.45989974751672,176.82717657951343,179.16049225679393
2020-02-25,181.81019600215532,181.81019600215532,174.68110188934673,177.91916457241064
2020-02-26,179.86468028728297,179.86468028728297,174.23668142171846,176.16920593973174
2020-02-27,178.01694311350735,178.01694311350735,166.63356935164427,169.9168818607536
2020-02-28,173.96691248713046,173.96691248713046,158.3932062043404,162.26336387983292
2020-03-02,168.1151381834817,171.33090209960938,163.27867983960735,168.020897605957
2020-03-03,168.06801789471933,175.81532604102838,168.06801789471933,172.1934125848327
2020-03-04,170.130715239776,182.9604347345763,170.130715239776,178.88420253822238
2020-03-05,174.5074588889992,180.15332507190723,174.5074588889992,177.53476881948927
2020-03-06,176.02111385424422,176.02111385424422,168.52055155249718,171.6881230013663
2020-03-09,173.85461842780526,173.85461842780526,159.2939187381497,164.49365330442683
2020-03-10,169.17413586611605,173.92160983727408,164.04252347169285,171.08344079095082
2020-03-11,170.12878832853343,170.1628187682034,161.53772119314573,166.72074109101658
2020-03-12,168.424764709775,168.424764709775,149.90813303457287,155.13094111937622
2020-03-13,161.7778529145756,161.7778529145756,147.31744285123125,156.76607399798817
2020-03-16,159.27196345628187,159.27196345628187,129.03922983151375,136.15335391909906
2020-03-17,147.71265868769046,147.71265868769046,120.21040469687604,131.07691983141723
2020-03-18,139.39478925955385,139.39478925955385,103.57448057123189,121.52090460871574
2020-03-19,130.4578469341348,142.89032120806036,123.52043323165037,133.75439300622358
2020-03-20,132.10611997017918,145.45873241174428,129.21106170197382,137.5664384387171
2020-03-23,134.83627920444815,134.83627920444815,124.37016677167814,128.98666473136421
2020-03-24,131.91147196790618,146.53447943572712,131.91147196790618,139.19836559954717
2020-03-25,135.5549187837267,151.12394903523747,135.5549187837267,145.29085747303935
2020-03-26,140.42288812838302,150.62747457327833,140.42288812838302,147.87125709859947
2020-03-27,144.14707261349125,150.06093201472527,143.22132135415828,145.779411588602
2020-03-30,144.9632421010466,154.8317628537017,144.9632421010466,151.4047902856043
2020-03-31,148.18401619332545,153.32637327929362,145.6242500141789,149.21353908008916
2020-04-01,148.6987776367073,148.6987776367073,134.11879383970148,137.71604479055793
2020-04-02,143.2074112136326,143.2074112136326,131.13023111612017,135.9878175935663
2020-04-03,139.59761440359944,140.86291968024,132.47652476564613,136.36736347789196
2020-04-06,137.9824889407457,147.35242841899253,137.9824889407457,143.42021317417522
2020-04-07,140.70135105746044,154.3511860054958,140.70135105746044,150.04102300835495
2020-04-08,145.3711870329077,156.5790828592551,145.3711870329077,152.17900224583585
2020-04-09,148.7750946393718,164.91773344519913,148.7750946393718,158.8340150918811
2020-04-13,153.80455486562644,156.71913160412058,150.503317315214,154.10613375904617
2020-04-14,153.9553443123363,162.5243692330734,153.9553443123363,159.53662153087419
2020-04-15,156.74598292160525,159.12846898952432,154.62813616632053,156.68893174065516
2020-04-16,156.71745733113022,159.7681547266731,151.5281503023545,156.17568596748748
2020-04-17,156.44657164930885,164.88271727156385,156.44657164930885,161.51304157103746
2020-04-20,158.97980661017317,163.88020874441628,156.88463445590955,159.97264754013193
2020-04-21,159.47622707515256,159.47622707515256,152.6484150301193,154.82219014389858
2020-04-22,157.14920860952557,160.84071030322698,157.14920860952557,158.73614943286398
2020-04-23,157.94267902119478,161.8941712634112,157.94267902119478,159.56761927371204
2020-04-24,158.7551491474534,161.2799482112757,157.41296931659107,159.84932657312788
2020-04-27,159.30223786029063,163.85789810431137,158.27227593640666,161.32686320541418
2020-04-28,160.31455053285242,165.4619356713997,160.31455053285242,163.32554891366334
2020-04-29,161.82004972325788,178.1131963347098,161.82004972325788,171.74382648956654
2020-04-30,166.7819381064122,173.01771020158972,166.65550430708777,169.59710740055698
2020-05-01,168.1895227534846,168.60327603838752,165.52243907980233,167.24267818956912
2020-05-04,167.71610047152686,168.64149704531337,164.53264066820168,167.08197448320715
2020-05-05,167.39903747736702,171.78277744769582,167.39903747736702,169.94954686932402
